,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts,Account Grade,Followers Rank,Following Rank,Posts Rank,Followers 30 Days,Following 30 Days,Posts 30 Days
0,23,Hermès,"27,398",twitter,Hermes_Paris,+27%,RANK UNCHANGED,"136,215",0,0,"Mar 27th, 2012",567,B-,"88,969th","9,840,235th","6,957,399th",1.021K 18.8%,1.021K 18.8%,-12 1%
1,24,J.P. Morgan,"24,335",twitter,jpmorgan,+14%,RANK UNCHANGED,"707,417",48,535,"Feb 6th, 2013","8,041",B,"15,206th","8,460,437th","2,716,558th",4.698K 15.7%,4.698K 15.7%,14 27.3%
2,24,J.P. Morgan,"24,335",twitter,JPMWealth,+14%,RANK UNCHANGED,"2,378",35,297,"Sep 8th, 2021",484,C,"1,884,973rd","8,730,194th","7,143,763rd",65 11%,65 11%,9 30.8%
3,24,J.P. Morgan,"24,335",twitter,JPMorganAM,+14%,RANK UNCHANGED,"103,821",239,83,"Jun 29th, 2010","8,390",B-,"115,644th","5,941,134th","2,646,582nd",656 15.3%,656 15.3%,--
4,25,YouTube,"24,268",twitter,TeamYouTube,+16%,UP 1 PLACE,"1,544,452","1,671","21,533","Feb 19th, 2015","2,225,935",B+,"6,138th","1,123,606th",247th,11.642K 12.7%,11.642K 12.7%,71.378K 4.1%
5,25,YouTube,"24,268",twitter,YouTube,+16%,UP 1 PLACE,"78,604,697","1,193","6,138","Nov 13th, 2007","50,653",A++,12th,"1,723,820th","492,857th",463.161K 16.0%,463.161K 16.0%,705 46.6%
6,25,YouTube,"24,268",twitter,YouTubeCreators,+16%,UP 1 PLACE,"6,688,289","2,073","10,652","Jan 18th, 2011","35,051",A-,842nd,"788,753rd","778,352nd",20.207K 27.3%,20.207K 27.3%,716 11.6%
7,25,YouTube,"24,268",twitter,youtubemusic,+16%,UP 1 PLACE,"1,072,093",735,"4,164","Jun 28th, 2017","9,461",B+,"9,485th","2,866,037th","2,456,366th",10.032K 35.9%,10.032K 35.9%,400 5.8%
8,25,YouTube,"24,268",twitter,YouTubeGaming,+16%,UP 1 PLACE,"2,074,463",907,"8,218","May 27th, 2015","24,037",B+,"4,238th","2,331,485th","1,160,402nd",10.967K 26.7%,10.967K 26.7%,414 0.7%
9,25,YouTube,"24,268",twitter,YouTubeIndia,+16%,UP 1 PLACE,"1,644,752",426,"2,981","Aug 19th, 2010","22,031",B+,"5,699th","4,382,102nd","1,262,116th",17.786K 27.5%,17.786K 27.5%,242 25.5%
10,26,Honda,"22,837",twitter,Honda,+7%,DOWN 1 PLACE,"1,166,052","1,499","11,948","May 29th, 2009","206,534",B+,"8,615th","1,312,915th","44,575th",4.783K 14.2%,4.783K 14.2%,32 13.5%
11,26,Honda,"22,837",twitter,HondaCanada,+7%,DOWN 1 PLACE,"46,531","1,973","5,324","Mar 13th, 2009","15,369",B-,"228,800th","854,688th","1,726,820th",14 125.9%,14 125.9%,20 9.1%
12,26,Honda,"22,837",twitter,Honda_UK,+7%,DOWN 1 PLACE,"70,945","1,670","10,002","Mar 2nd, 2009","18,265",B-,"160,927th","1,123,925th","1,494,338th",50 28.2%,50 28.2%,-1 108.3%
13,26,Honda,"22,837",twitter,HondaCustSvc,+7%,DOWN 1 PLACE,"26,914","7,086",70,"Jan 18th, 2011","48,992",B-,"354,143rd","105,891st","514,866th",27 133.8%,27 133.8%,88 46.7%
14,27,American Express,"22,117",twitter,AmericanExpress,+16%,UP 3 PLACES,"863,395",496,453,"May 26th, 2009","71,558",B,"12,122nd","3,950,007th","301,081st",-141 93%,-141 93%,51 3.8%
15,27,American Express,"22,117",twitter,AskAmex,+16%,UP 3 PLACES,"113,072",4,2,"Aug 4th, 2009","670,938",B-,"106,694th","9,508,666th","3,201st","434 1,966.7%","434 1,966.7%",1.852K 0.1%
16,27,American Express,"22,117",twitter,AmexBusiness,+16%,UP 3 PLACES,"174,337","2,257","4,612","Jun 25th, 2009","29,330",B-,"69,684th","691,081st","947,207th",-87 78%,-87 78%,72 7.5%
17,28,IKEA,"21,928",twitter,IKEA,+9%,DOWN 1 PLACE,"40,572",0,5,"Jun 12th, 2012",327,B-,"255,796th","9,838,293rd","7,577,813th",397 16.8%,397 16.8%,1 75%
18,28,IKEA,"21,928",twitter,IKEAUK,+9%,DOWN 1 PLACE,"75,171",154,"5,864","Dec 20th, 2013","9,456",B-,"153,159th","6,898,879th","2,454,512th",146 151.7%,146 151.7%,25 24.2%
19,28,IKEA,"21,928",twitter,IKEAUSA,+9%,DOWN 1 PLACE,"359,709",121,"9,158","May 23rd, 2011","20,420",B,"32,435th","7,319,375th","1,353,783rd",-414 76.7%,-414 76.7%,69 86.5%
20,28,IKEA,"21,928",twitter,IKEACanada,+9%,DOWN 1 PLACE,"119,809","2,337","5,214","Dec 4th, 2009","28,109",B-,"100,877th","653,823rd","990,863rd",-81 78.7%,-81 78.7%,101 21.7%
21,29,UPS,"21,164",twitter,TheUPSStore,+9%,RANK UNCHANGED,"49,797","3,345","6,417","Feb 20th, 2009","15,762",B-,"216,435th","388,572nd","1,691,938th",-47 65.2%,-47 65.2%,28 75.0%
22,29,UPS,"21,164",twitter,UPS,+9%,RANK UNCHANGED,"271,184","12,006","37,071","Jun 21st, 2010","141,234",B,"44,075th","55,052nd","94,548th",1.05K 29.5%,1.05K 29.5%,4.213K 20%
23,29,UPS,"21,164",twitter,UPSers,+9%,RANK UNCHANGED,"32,878","2,493","45,674","Aug 2nd, 2011","10,978",B-,"302,584th","591,011th","2,220,639th",81 723.1%,81 723.1%,20 35.5%
24,30,Gucci,"20,417",twitter,gucci,+23%,UP 3 PLACES,"7,043,479",368,749,"Oct 22nd, 2008","12,409",A-,780th,"4,797,813th","2,035,291st",27.634K 4.9%,27.634K 4.9%,113 113.2%
25,31,Accenture,"20,412",twitter,Accenture,+15%,UP 1 PLACE,"552,135","1,659","8,338","Nov 12th, 2007","22,631",B,"20,087th","1,135,269th","1,230,033rd",192 161.3%,192 161.3%,-2 0.0%
26,31,Accenture,"20,412",twitter,AccentureStrat,+15%,UP 1 PLACE,"59,398",221,"1,674","Jan 2nd, 2014","11,229",B-,"186,916th","6,131,609th","2,186,005th",-70 75.2%,-70 75.2%,-1 75%
27,32,Pepsi,"19,622",twitter,PepsiCanada,+1%,DOWN 4 PLACES,"25,956","5,891","2,076","Feb 23rd, 2009","8,208",B-,"364,292nd","132,667th","2,682,733rd",-17 66%,-17 66%,-14 333.3%
28,32,Pepsi,"19,622",twitter,PepsiMaxUK,+1%,DOWN 4 PLACES,"57,245","1,435","4,092","Mar 6th, 2009","9,576",B-,"192,749th","1,389,543rd","2,434,501st",-97 12.8%,-97 12.8%,12 50%
29,32,Pepsi,"19,622",twitter,pepsi,+1%,DOWN 4 PLACES,"3,129,760","37,467","7,121","Dec 15th, 2008","75,276",B+,"2,470th","13,731st","278,538th",7.243K 155.4%,7.243K 155.4%,127 41.1%
30,32,Pepsi,"19,622",twitter,PepsiGlobal,+1%,DOWN 4 PLACES,"13,857",95,"2,549","Sep 6th, 2019",972,C+,"586,452nd","7,687,586th","6,230,599th",-1 100.6%,-1 100.6%,-40 165.6%
31,33,GE,"19,093",twitter,generalelectric,+4%,DOWN 2 PLACES,"443,620","12,582","2,023","Mar 16th, 2011","86,221",B,"25,682nd","52,026th","224,392nd",-259 69%,-259 69%,76 24%
32,33,GE,"19,093",twitter,GE_Canada,+4%,DOWN 2 PLACES,"15,860","1,038","1,904","Nov 20th, 2009","4,911",C+,"530,595th","2,004,312th","3,552,460th",-12 78.9%,-12 78.9%,-1 0.0%
33,33,GE,"19,093",twitter,GE_Appliances,+4%,DOWN 2 PLACES,"27,016","9,032","2,703","Sep 1st, 2009","43,694",B-,"353,095th","78,650th","596,828th",56 354.5%,56 354.5%,120 9.1%
34,33,GE,"19,093",twitter,GEpublicaffairs,+4%,DOWN 2 PLACES,"11,303","1,169",135,"Sep 29th, 2010","13,445",C+,"680,265th","1,763,649th","1,917,515th",-19 44.1%,-19 44.1%,-1 91.7%
35,34,Allianz,"18,694",twitter,Allianz,+23%,RANK UNCHANGED,"52,324","1,883","4,550","Sep 2nd, 2009","6,073",B-,"207,609th","922,148th","3,186,668th",52 76.8%,52 76.8%,1 102%
36,34,Allianz,"18,694",twitter,allianzuknews,+23%,RANK UNCHANGED,"9,857",801,946,"Jul 14th, 2009","5,951",C+,"750,612th","2,643,505th","3,221,764th",40 17.6%,40 17.6%,9 40%
37,34,Allianz,"18,694",twitter,AllianzPartners,+23%,RANK UNCHANGED,"11,356","7,657",249,"Mar 2nd, 2016","2,014",C+,"677,832nd","96,425th","5,088,519th",-16 100.0%,-16 100.0%,15 87.5%
38,35,Hyundai,"17,314",twitter,Hyundai_Global,+14%,RANK UNCHANGED,"326,547",304,"1,440","Jan 14th, 2013","8,946",B,"36,188th","5,321,213th","2,543,220th",1.543K 54.2%,1.543K 54.2%,28 17.6%
39,35,Hyundai,"17,314",twitter,Hyundai,+14%,RANK UNCHANGED,"424,827","9,054","23,565","Mar 23rd, 2009","40,438",B,"26,986th","78,393rd","656,922nd",1.221K 30.2%,1.221K 30.2%,276 22%
40,35,Hyundai,"17,314",twitter,HyundaiCanada,+14%,RANK UNCHANGED,"13,325",84,"2,466","Oct 2nd, 2009","6,778",C+,"603,719th","7,860,511th","3,000,574th",34 409.1%,34 409.1%,46 11.5%
41,35,Hyundai,"17,314",twitter,Hyundai_UK,+14%,RANK UNCHANGED,"36,313","1,157","2,888","Feb 26th, 2011","16,749",B-,"279,658th","1,784,024th","1,609,320th",75 33.9%,75 33.9%,96 10.3%
42,36,Salesforce,"17,311",twitter,salesforce,+17%,UP 2 PLACES,"589,287","142,632","31,979","Apr 20th, 2009","101,688",B,"18,725th","2,226th","170,438th",715 583.1%,715 583.1%,185 65.5%
43,36,Salesforce,"17,311",twitter,SalesforceOrg,+17%,UP 2 PLACES,"119,476","2,795","17,592","May 1st, 2009","25,117",B-,"101,118th","502,417th","1,111,072nd",45 108.1%,45 108.1%,46 55.8%
44,36,Salesforce,"17,311",twitter,SalesforceNews,+17%,UP 2 PLACES,"23,105",947,386,"Aug 22nd, 2017","3,265",B-,"398,994th","2,225,376th","4,265,718th",41 264%,41 264%,20 54.5%
45,36,Salesforce,"17,311",twitter,SalesforceAdmns,+17%,UP 2 PLACES,"59,923","1,299","25,063","Jul 13th, 2015","9,499",B-,"185,646th","1,566,026th","2,447,438th",382 109.9%,382 109.9%,101 35.3%
46,36,Salesforce,"17,311",twitter,SalesforceDevs,+17%,UP 2 PLACES,"120,529",807,"6,771","Jul 30th, 2007","14,539",B-,"100,293rd","2,623,186th","1,805,821st",162 280%,162 280%,39 254.5%
47,37,Visa Inc.,"17,258",twitter,VisaCA,+17%,UP 2 PLACES,"57,407",864,"1,580","Apr 19th, 2013","3,581",B-,"192,297th","2,451,591st","4,102,355th",53 983.3%,53 983.3%,--
48,37,Visa Inc.,"17,258",twitter,askvisa,+17%,UP 2 PLACES,"6,725",684,221,"Apr 22nd, 2013","37,648",C+,"970,132nd","3,056,999th","715,242nd",41 86.4%,41 86.4%,217 1.8%
49,37,Visa Inc.,"17,258",twitter,VisaSecurity,+17%,UP 2 PLACES,"9,572","2,011",590,"Jan 25th, 2011","4,628",C+,"765,850th","827,842nd","3,655,531st",-9 75%,-9 75%,--
50,37,Visa Inc.,"17,258",twitter,VisaNews,+17%,UP 2 PLACES,"123,272","3,111","1,827","Jun 1st, 2011","7,014",B-,"98,168th","430,671st","2,943,001st",183 771.4%,183 771.4%,5 50%
51,37,Visa Inc.,"17,258",twitter,Visa,+17%,UP 2 PLACES,"412,881","1,062",861,"Apr 11th, 2012","13,963",B,"27,881st","1,957,807th","1,863,102nd",955 14.4%,955 14.4%,-50 2%
