,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts,Account Grade,Followers Rank,Following Rank,Posts Rank,Followers 30 Days,Following 30 Days,Posts 30 Days
14,45,Nescafé,"15,061",twitter,NescafeUSA,+4%,DOWN 5 PLACES,"13,369",208,"4,867","Apr 30th, 2009","11,383",C+,"602,238th","6,267,634th","2,165,131st",-20 37.5%,-20 37.5%,--
15,45,Nescafé,"15,061",twitter,NESCAFE,+4%,DOWN 5 PLACES,"71,700",79,"4,311","May 19th, 2009","10,433",B-,"159,435th","7,936,299th","2,300,183rd",19 64.2%,19 64.2%,28 12.0%
16,45,Nescafé,"15,061",twitter,NescafeCA,+4%,DOWN 5 PLACES,800,37,454,"Mar 15th, 2016",512,C,"3,709,655th","8,688,225th","7,077,801st",3 250%,3 250%,2 0.0%
17,46,Audi,"14,976",twitter,AudiCanada,+11%,RANK UNCHANGED,"30,112",287,"1,845","Feb 28th, 2011","4,467",B-,"324,397th","5,480,762nd","3,717,260th",-20 73.3%,-20 73.3%,--
18,46,Audi,"14,976",twitter,Audi,+11%,RANK UNCHANGED,"2,118,397","9,121","13,638","Mar 30th, 2009","32,017",B+,"4,135th","77,666th","861,416th",1.146K 238.7%,1.146K 238.7%,"47 1,075.0%"
19,46,Audi,"14,976",twitter,AudiOfficial,+11%,RANK UNCHANGED,"603,119","1,588","8,952","Apr 8th, 2009","23,570",B,"18,253rd","1,210,574th","1,182,672nd",2.294K 537.2%,2.294K 537.2%,102 100.0%
20,47,Zara,"14,958",twitter,ZARA_Care,+11%,DOWN 2 PLACES,"74,022","4,403",54,"Oct 11th, 2013","165,408",B-,"155,201st","252,613th","69,777th",1.025K 24.6%,1.025K 24.6%,1.83K 2.5%
21,47,Zara,"14,958",twitter,zarahome,+11%,DOWN 2 PLACES,"87,147",60,468,"Mar 10th, 2010","6,256",B-,"134,774th","8,261,092nd","3,137,001st",126 281.8%,126 281.8%,56 6.7%
22,47,Zara,"14,958",twitter,ZARA,+11%,DOWN 2 PLACES,"1,379,441",70,77,"Aug 1st, 2011","64,816",B+,"7,022nd","8,079,913th","349,073rd",2.513K 40.9%,2.513K 40.9%,883 13.5%
23,48,Volkswagen,"14,819",twitter,VWcanada,+10%,DOWN 1 PLACE,"52,002",163,"2,604","Aug 31st, 2009","10,408",B-,"208,670th","6,786,886th","2,303,697th",-67 63.6%,-67 63.6%,15 193.8%
24,48,Volkswagen,"14,819",twitter,VWGroup,+10%,DOWN 1 PLACE,"161,577",525,"6,165","Feb 6th, 2015","5,965",B-,"75,091st","3,788,097th","3,217,173rd",228 26.0%,228 26.0%,26 39.5%
25,48,Volkswagen,"14,819",twitter,volkswagen,+10%,DOWN 1 PLACE,"206,902",341,"1,027","Feb 6th, 2015","6,903",B-,"58,530th","5,013,273rd","2,970,211th",246 228.1%,246 228.1%,26 25.7%
26,48,Volkswagen,"14,819",twitter,VW,+10%,DOWN 1 PLACE,"701,981",53,"2,502","Apr 1st, 2009","34,128",B,"15,352nd","8,381,277th","801,494th",3.569K 1.9%,3.569K 1.9%,146 18.9%
27,49,Goldman Sachs Group,"14,526",twitter,goldmansachspfm,+16%,UP 6 PLACES,"5,958","1,241","1,231","Apr 6th, 2011","6,102",TBD,TBD,TBD,TBD,--,--,--
28,49,Goldman Sachs Group,"14,526",twitter,gsdeveloper,+16%,UP 6 PLACES,"4,676",11,29,"Sep 10th, 2021",141,C,"1,227,635th","9,291,755th","8,317,924th",84 20.0%,84 20.0%,1 85.7%
29,49,Goldman Sachs Group,"14,526",twitter,marcus,+16%,UP 6 PLACES,"12,809",32,46,"Jan 5th, 2017","3,541",C+,"621,342nd","8,782,085th","4,121,815th",122 335.7%,122 335.7%,42 25%
30,49,Goldman Sachs Group,"14,526",twitter,GoldmanSachs,+16%,UP 6 PLACES,"979,916",10,305,"Feb 16th, 2011","15,607",B,"10,574th","9,334,938th","1,705,641st",5.042K 18.6%,5.042K 18.6%,8 66.7%
31,50,Ford Motor Company,"14,431",twitter,FordCanada,12%,UP 2 PLACES,"65,088","1,383","5,497","May 6th, 2011","12,001",B-,"173,107th","1,453,939th","2,085,228th",80 177.7%,80 177.7%,--
32,50,Ford Motor Company,"14,431",twitter,FordPerformance,12%,UP 2 PLACES,"284,205",574,"7,334","Apr 16th, 2008","41,869",B,"41,954th","3,540,251st","629,151st",2.104K 23.5%,2.104K 23.5%,29 141.7%
33,50,Ford Motor Company,"14,431",twitter,Ford,12%,UP 2 PLACES,"1,466,738",21,"12,562","Jul 31st, 2008","46,705",B+,"6,548th","9,035,807th","548,539th",5.261K 3.0%,5.261K 3.0%,398 4.8%
34,51,Starbucks,"14,050",twitter,StarbucksJobs,+8%,RANK UNCHANGED,"79,029","4,822","3,740","Jul 24th, 2009","11,970",B-,"146,783rd","210,722nd","2,088,954th",-172 49%,-172 49%,--
35,51,Starbucks,"14,050",twitter,StarbucksNews,+8%,RANK UNCHANGED,"126,080","1,438","7,385","Aug 21st, 2009","7,973",B-,"96,048th","1,386,060th","2,730,129th",637 63.1%,637 63.1%,--
36,51,Starbucks,"14,050",twitter,StarbucksCanada,+8%,RANK UNCHANGED,"355,489","5,079","20,321","Dec 29th, 2009","41,635",B,"32,883rd","159,559th","633,447th",-511 11.4%,-511 11.4%,27 50.0%
37,51,Starbucks,"14,050",twitter,Starbucks,+8%,RANK UNCHANGED,"11,125,605","87,876","22,762","Nov 29th, 2006","266,151",A,387th,"4,581st","26,008th",6.02K 112.0%,6.02K 112.0%,-9 107.4%
38,52,Pampers,"13,832",twitter,Pampers,-1%,DOWN 8 PLACES,"146,757","2,597","20,434","Jul 7th, 2009","39,342",B-,"82,544th","557,155th","678,823rd",-149 69.5%,-149 69.5%,50 13.6%
39,53,Porsche,"13,504",twitter,PorscheFormulaE,+15%,UP 5 PLACES,"301,292",222,"5,644","Feb 22nd, 2016","9,456",B,"39,407th","6,115,059th","2,454,684th",-256 74%,-256 74%,94 147.4%
40,53,Porsche,"13,504",twitter,PorscheCanada,+15%,UP 5 PLACES,"16,749",269,"2,134","Aug 13th, 2015","2,435",C+,"509,304th","5,649,722nd","4,768,682nd",12 180%,12 180%,2 100.0%
41,53,Porsche,"13,504",twitter,PorscheRaces,+15%,UP 5 PLACES,"1,717,897",250,"6,160","Feb 10th, 2014","40,043",B+,"5,376th","5,833,739th","664,575th",-177 85.3%,-177 85.3%,77 175.0%
42,53,Porsche,"13,504",twitter,PorscheNewsroom,+15%,UP 5 PLACES,"580,914",137,444,"Mar 3rd, 2014","15,974",B,"19,032nd","7,104,059th","1,673,865th",-196 53.1%,-196 53.1%,24 17.2%
43,53,Porsche,"13,504",twitter,Porsche,+15%,UP 5 PLACES,"2,137,772",336,"2,004","Jul 15th, 2009","5,320",B+,"4,082nd","5,056,482nd","3,414,403rd",7.988K 18.8%,7.988K 18.8%,-3 127.3%
44,54,Airbnb,"13,416",twitter,AirbnbEng,NEW,NEW,"54,259",231,"2,721","Sep 21st, 2012","1,958",B-,"201,497th","6,025,949th","5,136,010th",62 157.4%,62 157.4%,1 50%
45,54,Airbnb,"13,416",twitter,AirbnbPolicy,NEW,NEW,"33,364",225,"1,530","May 22nd, 2014","3,542",B-,"299,181st","6,085,512th","4,121,274th",315 9.7%,315 9.7%,-30 500.0%
46,54,Airbnb,"13,416",twitter,AirbnbHelp,NEW,NEW,"111,655","5,276","1,009","Jul 28th, 2014","410,466",B-,"107,963rd","152,145th","9,792nd",856 86.9%,856 86.9%,1.776K 25.0%
47,54,Airbnb,"13,416",twitter,Airbnb,NEW,NEW,"869,138","19,919","33,690","Nov 15th, 2008","44,176",B,"12,039th","29,719th","588,538th",7.719K 31.3%,7.719K 31.3%,8 166.7%
48,55,Siemens,"13,359",twitter,SiemensUSA,+21%,UP 5 PLACES,"39,386","1,400","5,483","Oct 3rd, 2008","9,907",B-,"261,923rd","1,432,665th","2,380,866th",20 116.7%,20 116.7%,28 21.7%
49,55,Siemens,"13,359",twitter,SiemensCanada,+21%,UP 5 PLACES,"5,313",550,"2,296","Feb 28th, 2011","4,932",C,"1,130,913th","3,659,583rd","3,544,914th",-3 66.7%,-3 66.7%,10 103.5%
50,55,Siemens,"13,359",twitter,SiemensMobility,+21%,UP 5 PLACES,"53,415",572,"13,681","Apr 17th, 2013","5,217",B-,"204,141st","3,547,638th","3,447,606th",93 3%,93 3%,14 22.2%
51,55,Siemens,"13,359",twitter,SiemensHealth,+21%,UP 5 PLACES,"82,761","1,082","1,500","Jun 17th, 2009","12,851",B-,"140,987th","1,916,957th","1,983,460th",126 218.9%,126 218.9%,11 0.0%
52,55,Siemens,"13,359",twitter,Siemens_Energy,+21%,UP 5 PLACES,"186,519","22,962","6,020","Apr 24th, 2009","20,436",B-,"65,067th","25,064th","1,352,780th",160 1%,160 1%,3 104.3%
