,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts
52,21,Adobe,"30,660",twitter,AdobeAero,+23%,RANK UNCHANGED,"100,243",325,"1,279","Apr 14th, 2011","6,628"
53,21,Adobe,"30,660",twitter,AdobeExpCloud,+23%,RANK UNCHANGED,"155,744","1,870","23,495","Jun 17th, 2008","35,697"
54,21,Adobe,"30,660",twitter,InDesign,+23%,RANK UNCHANGED,"299,573",160,"1,027","Aug 7th, 2009","11,727"
55,21,Adobe,"30,660",twitter,adobedevs,+23%,RANK UNCHANGED,"16,204",278,981,"Oct 21st, 2009","4,428"
56,21,Adobe,"30,660",twitter,AdobeFonts,+23%,RANK UNCHANGED,"82,506",175,475,"Apr 9th, 2009","13,802"
57,21,Adobe,"30,660",twitter,AdobeTCS,+23%,RANK UNCHANGED,"10,086",827,"1,679","Jun 9th, 2011","11,417"
58,21,Adobe,"30,660",twitter,AdobeVideo,+23%,RANK UNCHANGED,"313,619","1,398","13,461","Feb 19th, 2010","26,642"
59,21,Adobe,"30,660",twitter,AdobeAE,+23%,RANK UNCHANGED,"293,327",317,"4,087","Sep 24th, 2009","16,777"
60,21,Adobe,"30,660",twitter,AdobeConnect,+23%,RANK UNCHANGED,"14,149",266,215,"Dec 18th, 2008","6,543"
61,21,Adobe,"30,660",twitter,AdobeCare,+23%,RANK UNCHANGED,"99,357","15,565","2,475","Feb 3rd, 2010","396,559"
62,21,Adobe,"30,660",twitter,AdobeCreate,+23%,RANK UNCHANGED,"26,146",874,"1,945","Dec 10th, 2014","3,487"
63,21,Adobe,"30,660",twitter,AdobeResearch,+23%,RANK UNCHANGED,"30,501",39,109,"Mar 23rd, 2010",741
64,21,Adobe,"30,660",twitter,AdobeDrawing,+23%,RANK UNCHANGED,"120,346","1,349","4,295","Sep 9th, 2011","11,282"
65,21,Adobe,"30,660",twitter,AdobePortfolio,+23%,RANK UNCHANGED,"12,295",58,"1,230","Aug 6th, 2015","4,228"
66,21,Adobe,"30,660",twitter,AdobeCommerce,+23%,RANK UNCHANGED,"80,217","11,427","9,413","Oct 27th, 2007","20,550"
67,21,Adobe,"30,660",twitter,AdobeMarketo,+23%,RANK UNCHANGED,"148,794","44,555","30,878","Nov 19th, 2008","38,560"
68,21,Adobe,"30,660",twitter,AdobeCare,+23%,RANK UNCHANGED,"99,357","15,565","2,475","Feb 3rd, 2010","396,559"
69,21,Adobe,"30,660",twitter,AdobeCanada,+23%,RANK UNCHANGED,"6,759",405,649,"Jan 19th, 2010","7,980"
70,21,Adobe,"30,660",twitter,AdobeUK,+23%,RANK UNCHANGED,"18,398","1,307","3,479","Jan 28th, 2010","16,881"
71,21,Adobe,"30,660",twitter,AdobeGenCreate,+23%,RANK UNCHANGED,"60,161","1,213","1,644","Feb 27th, 2009","8,866"
72,21,Adobe,"30,660",twitter,AdobeExpress,+23%,RANK UNCHANGED,"61,711","2,114","21,922","Jan 9th, 2015","17,088"
73,21,Adobe,"30,660",twitter,AdobeDocCloud,+23%,RANK UNCHANGED,"45,056","3,492","5,068","Jan 20th, 2009","17,433"
74,21,Adobe,"30,660",twitter,AdobeCareers,+23%,RANK UNCHANGED,"13,925",285,"3,562","Jan 28th, 2011","9,495"
75,21,Adobe,"30,660",twitter,AdobeExpCare,+23%,RANK UNCHANGED,"10,461","1,922","1,159","Dec 17th, 2008","32,840"
76,21,Adobe,"30,660",twitter,AdobeNews,+23%,RANK UNCHANGED,"33,862",224,429,"Jul 22nd, 2008","2,382"
77,22,Chanel,"29,259",twitter,CHANEL,+32%,RANK UNCHANGED,"13,541,609",1,0,"Jun 29th, 2011","4,220"
