Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Page Likes,Talking About This,Grade,Talking Rank,Likes Rank
23,Hermès,"27,398",facebook,hermes,27%,RANK UNCHANGED,"3,611,120","4,578",A-,"57,104th","8,076th"
24,J.P. Morgan,"24,335",facebook,jpmorgan,14%,RANK UNCHANGED,"81,242",873,B-,"113,937th","138,930th"
24,J.P. Morgan,"24,335",facebook,jpmorganchase,14%,RANK UNCHANGED,"412,765","1,688",B,"84,511th","52,681st"
25,YouTube,"24,268",facebook,youtube,16%,UP 1 PLACE,"87,388,323","65,567",A+,"12,816th",77th
26,Honda,"22,837",facebook,Honda,7%,DOWN 1 PLACE,"5,461,017","3,927",A-,"61,158th","5,167th"
27,American Express,"22,117",facebook,americanexpress,16%,UP 3 PLACES,"7,924,168",378,N/A,TBD,TBD
28,IKEA,"21,928",facebook,IKEACanada,9%,DOWN 1 PLACE,"31,565,368","1,303",N/A,TBD,TBD
29,UPS,"21,164",facebook,ups,9%,RANK UNCHANGED,"1,996,510","6,749",B+,"47,468th","14,539th"
30,Gucci,"20,417",facebook,GUCCI,23%,UP 3 PLACES,"20,692,216","112,111",A-,"6,718th","1,012th"
31,Accenture,"20,412",facebook,accenture,15%,UP 1 PLACE,"873,991","7,161",B,"46,342nd","30,520th"
32,Pepsi,"19,622",facebook,PepsiCanada,1%,DOWN 4 PLACES,"36,851,249",3,A,"604,990th",371st
33,GE,"19,093",facebook,GeneralElectricCanada,4%,DOWN 2 PLACES,"80,808",236,B-,"178,931st","139,312th"
34,Allianz,"18,694",facebook,Allianz,23%,RANK UNCHANGED,"3,839,813",166,A-,"197,162nd","7,567th"
35,Hyundai,"17,314",facebook,Hyundaiworldwide,14%,RANK UNCHANGED,"4,484,970","8,221",A-,"44,631st","6,402nd"
36,Salesforce,"17,311",facebook,SalesforceCA,17%,UP 2 PLACES,"786,118",489,B,"135,424th","32,989th"
37,Visa Inc.,"17,258",facebook,VisaCanada,17%,UP 2 PLACES,"5,117",0,B-,"845,040th","451,164th"
38,PayPal,"17,058",facebook,PayPalCanada,19%,UP 4 PLACES,,,,,
39,Sony,"16,989",facebook,sonymobileus,18%,UP 4 PLACES,"98,881","3,666",B-,"63,065th","125,785th"
39,Sony,"16,989",facebook,SonyPicturesAnimation,18%,UP 4 PLACES,"8,360,196","87,423",A-,"10,409th","3,190th"
40,Netflix,"16,375",facebook,netflixcanada,9%,DOWN 4 PLACES,"86,336,697","11,181",N/A,TBD,TBD
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
