,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts,Account Grade,Followers Rank,Following Rank,Posts Rank,Followers 30 Days,Following 30 Days,Posts 30 Days
0,7,Coca-Cola,"57,535",twitter,cokescholars,0%,DOWN 1 PLACE,"8,489",962,"4,957","May 15th, 2009","5,975",C+,"828,711th","2,189,320th","3,215,126th",22 157.9%,22 157.9%,-7 450%
1,7,Coca-Cola,"57,535",twitter,CocaColaRacing,0%,DOWN 1 PLACE,"122,168",167,"43,537","May 18th, 2009","16,225",B-,"98,670th","6,746,056th","1,652,265th",-76 76.2%,-76 76.2%,51 72%
2,7,Coca-Cola,"57,535",twitter,DietCoke,0%,DOWN 1 PLACE,"284,622",725,"2,516","Nov 17th, 2009","24,912",B,"41,697th","2,905,094th","1,120,225th",-299 66.3%,-299 66.3%,13 18.2%
3,7,Coca-Cola,"57,535",twitter,cocacola_ca,0%,DOWN 1 PLACE,"21,944","1,973","3,638","Oct 14th, 2010","7,659",B-,"414,287th","854,300th","2,796,996th",-30 70.6%,-30 70.6%,4 66.7%
4,7,Coca-Cola,"57,535",twitter,CocaColaCo,0%,DOWN 1 PLACE,"1,178,498","26,763","2,931","Mar 9th, 2009","22,647",B+,"8,471st","20,831st","1,229,226th",-1.075K 71.5%,-1.075K 71.5%,14 26.3%
5,7,Coca-Cola,"57,535",twitter,WorldofCocaCola,0%,DOWN 1 PLACE,"190,132","2,030","4,409","Apr 3rd, 2009","16,612",B-,"63,535th","815,229th","1,620,404th",-215 65.3%,-215 65.3%,--
6,7,Coca-Cola,"57,535",twitter,CocaCola,0%,DOWN 1 PLACE,"3,410,205","57,291","22,607","Mar 26th, 2009","289,222",B+,"2,182nd","8,022nd","21,545th",4.489K 69.2%,4.489K 69.2%,121 40.4%
7,8,Mercedes-Benz,"56,103",twitter,MercedesAMGF1,10%,RANK UNCHANGED,"4,531,662","3,701","118,981","Mar 24th, 2009","136,954",B+,"1,492nd","334,733rd","99,847th",31.921K 37.1%,31.921K 37.1%,149 71.7%
8,8,Mercedes-Benz,"56,103",twitter,MB_Press,10%,RANK UNCHANGED,"15,091",227,209,"Dec 14th, 2018","3,264",C+,"549,656th","6,070,937th","4,265,435th",240 54.8%,240 54.8%,53 10.2%
9,8,Mercedes-Benz,"56,103",twitter,MBvansUSA,10%,RANK UNCHANGED,"10,686",117,512,"Nov 20th, 2014","1,189",C+,"709,832nd","7,379,927th","5,934,659th",105 198.1%,105 198.1%,29 26.1%
10,8,Mercedes-Benz,"56,103",twitter,MBVansCA,10%,RANK UNCHANGED,"1,364",342,329,"May 16th, 2012","1,237",C,"2,684,447th","5,009,807th","5,874,173rd",10 33.3%,10 33.3%,--
11,8,Mercedes-Benz,"56,103",twitter,MercedesBenzCDN,10%,RANK UNCHANGED,"36,246",667,"2,516","Aug 25th, 2009","7,550",B-,"279,330th","3,128,843rd","2,820,850th",-39 73.1%,-39 73.1%,1 88.9%
12,8,Mercedes-Benz,"56,103",twitter,MBWorldUK,10%,RANK UNCHANGED,"16,485",116,"1,372","May 24th, 2011","1,589",C+,"514,287th","7,392,542nd","5,478,617th",7 121.9%,7 121.9%,--
13,8,Mercedes-Benz,"56,103",twitter,MercedesBenzUSA,10%,RANK UNCHANGED,"968,414",903,"8,752","Dec 8th, 2010","23,415",B,"10,660th","2,342,105th","1,190,339th",4.528K 0.6%,4.528K 0.6%,89 58.9%
14,8,Mercedes-Benz,"56,103",twitter,MB_Museum,10%,RANK UNCHANGED,"88,805","9,675","3,160","Jan 24th, 2009","5,133",B-,"132,279th","72,065th","3,476,336th",704 21.5%,704 21.5%,20 37.5%
15,8,Mercedes-Benz,"56,103",twitter,MercedesBenz,10%,RANK UNCHANGED,"4,000,308",660,"15,004","Jul 7th, 2009","91,387",B+,"1,759th","3,156,647th","203,977th",8.868K 89.7%,8.868K 89.7%,302 21.8%
16,8,Mercedes-Benz,"56,103",twitter,MercedesF1Esp,10%,RANK UNCHANGED,"9,767",51,235,"Oct 14th, 2021",411,C+,"754,415th","8,418,128th","7,341,427th",837 20.1%,837 20.1%,89 39.1%
17,8,Mercedes-Benz,"56,103",twitter,amgmotorsport,10%,RANK UNCHANGED,"67,166",49,"3,016","Feb 17th, 2021","2,789",B-,"168,063rd","8,455,209th","4,537,496th",3.391K,3.391K,91
18,8,Mercedes-Benz,"56,103",twitter,MercedesAMG,10%,RANK UNCHANGED,"1,728,429",282,"7,511","May 6th, 2009","18,937",B+,"5,301st","5,530,750th","1,448,116th",10.703K 5.4%,10.703K 5.4%,79 17.7%
19,9,Disney,"50,325",twitter,DisneyPlus,14%,UP 1 PLACE,"5,130,608",260,"2,757","Apr 16th, 2018","42,028",B+,"1,244th","5,738,070th","626,409th",12.092K 84.4%,12.092K 84.4%,282 7.2%
20,9,Disney,"50,325",twitter,Disney,14%,UP 1 PLACE,"9,903,585",108,142,"Aug 20th, 2009","20,630",A,462nd,"7,501,376th","1,341,394th",128.69K 1.8%,128.69K 1.8%,103 21.4%
21,9,Disney,"50,325",twitter,disneyauditions,14%,UP 1 PLACE,"112,978",33,57,"Nov 19th, 2007","3,487",B-,"106,391st","8,758,412th","4,149,890th",-251 67.9%,-251 67.9%,--
22,9,Disney,"50,325",twitter,DisneyPlusCA,14%,UP 1 PLACE,"19,015",30,50,"Jun 22nd, 2018","2,934",B-,"462,720th","8,829,549th","4,450,216th",467,467,78
23,9,Disney,"50,325",twitter,DisneyParis_EN,14%,UP 1 PLACE,"116,149",64,"8,488","Apr 1st, 2014","15,415",B-,"103,571st","8,196,874th","1,722,859th",444 14.3%,444 14.3%,23 17.9%
24,9,Disney,"50,325",twitter,DisneyTVA,14%,UP 1 PLACE,"114,747",41,262,"Sep 7th, 2017","1,916",B-,"104,876th","8,604,430th","5,173,282nd",1.704K 15.1%,1.704K 15.1%,55 16.7%
25,9,Disney,"50,325",twitter,DisneyChannel,14%,UP 1 PLACE,"909,855",168,"3,362","Sep 26th, 2013","15,582",B,"11,397th","6,726,377th","1,708,257th",363 42.5%,363 42.5%,60 10.4%
26,9,Disney,"50,325",twitter,DisneyCruise,14%,UP 1 PLACE,"473,891",82,7,"Jan 16th, 2009","6,108",B,"23,818th","7,902,153rd","3,177,938th",1.327K 584.0%,1.327K 584.0%,15 114.3%
27,9,Disney,"50,325",twitter,OhMyDisney,14%,UP 1 PLACE,"151,187",175,"5,019","Nov 28th, 2012","13,253",B-,"79,920th","6,640,426th","1,939,165th",-77 90.2%,-77 90.2%,45 34.8%
28,9,Disney,"50,325",twitter,DisneyBooks,14%,UP 1 PLACE,"62,504",617,"2,873","Apr 29th, 2009","11,205",B-,"178,568th","3,337,604th","2,189,583rd",-64 79.9%,-64 79.9%,-18 175%
29,9,Disney,"50,325",twitter,shopDisney,14%,UP 1 PLACE,"591,862",120,"1,975","Sep 29th, 2009","27,183",B,"18,557th","7,335,949th","1,025,546th",916 1%,916 1%,147 3.5%
30,9,Disney,"50,325",twitter,Disneyland,14%,UP 1 PLACE,"1,588,608",51,308,"Jan 17th, 2008","24,768",B+,"5,909th","8,416,752nd","1,126,647th",1.256K 140%,1.256K 140%,18 14.3%
31,9,Disney,"50,325",twitter,radiodisney,14%,UP 1 PLACE,"2,176,955","4,498","2,947","Sep 26th, 2009","41,051",B+,"3,975th","242,798th","644,523rd",-2.641K 43.7%,-2.641K 43.7%,-5 155.6%
32,9,Disney,"50,325",twitter,DisneySprings,14%,UP 1 PLACE,"287,016",316,"12,204","Jul 24th, 2012","15,079",B,"41,322nd","5,224,528th","1,753,954th",329 153.8%,329 153.8%,49 6.5%
33,9,Disney,"50,325",twitter,DisneyMusic,14%,UP 1 PLACE,"447,766",359,"1,997","Dec 10th, 2008","16,436",B,"25,297th","4,871,025th","1,635,050th",1.064K 329.8%,1.064K 329.8%,182 15%
34,9,Disney,"50,325",twitter,DisneyAnimation,14%,UP 1 PLACE,"3,677,560",217,924,"Aug 5th, 2009","6,262",B+,"1,969th","6,177,927th","3,135,375th",11.624K 7.1%,11.624K 7.1%,54 12.9%
35,9,Disney,"50,325",twitter,WaltDisneyCo,14%,UP 1 PLACE,"725,572",87,5,"Oct 25th, 2011","2,497",B,"14,745th","7,817,565th","4,727,125th",6.902K 38%,6.902K 38%,13 43.5%
36,9,Disney,"50,325",twitter,DisneyParks,14%,UP 1 PLACE,"2,269,819",34,902,"Apr 7th, 2009","34,374",B+,"3,760th","8,742,832nd","794,744th",10.672K 24.4%,10.672K 24.4%,98 12.5%
37,9,Disney,"50,325",twitter,WaltDisneyWorld,14%,UP 1 PLACE,"3,822,016",198,551,"Jun 24th, 2008","24,210",B+,"1,863rd","6,375,011th","1,151,844th",23.606K 21.2%,23.606K 21.2%,22 18.5%
38,9,Disney,"50,325",twitter,DisneyStudios,14%,UP 1 PLACE,"6,877,366",310,"2,155","May 1st, 2009","13,412",A-,802nd,"5,279,867th","1,921,148th",10.056K 79.5%,10.056K 79.5%,70 9.1%
39,9,Disney,"50,325",twitter,DisneyD23,14%,UP 1 PLACE,"792,016",440,"2,738","Apr 6th, 2009","19,156",B,"13,329th","4,293,111th","1,433,972nd",5.785K 19.3%,5.785K 19.3%,118 41%
