,Ranking number,Brand,Brand Value,Platform,Brand Representation,Brand Growth,Rank Change,Followers,Following,Likes,Date created,Posts,Account Grade,Followers Rank,Following Rank,Posts Rank,Followers 30 Days,Following 30 Days,Posts 30 Days
40,10,Nike,"50,289",twitter,NikeN7,+18%,UP 1 PLACE,"36,135",161,573,"Aug 12th, 2010","3,232",B-,"280,036th","6,814,916th","4,282,408th",-52 95.2%,-52 95.2%,-5 0.0%
41,10,Nike,"50,289",twitter,NikeService,+18%,UP 1 PLACE,"204,284",524,755,"Apr 21st, 2008","595,573",B-,"59,079th","3,793,153rd","4,212th",19 104%,19 104%,574 40.6%
42,10,Nike,"50,289",twitter,nikediamond,+18%,UP 1 PLACE,"190,263",370,"1,448","Nov 18th, 2010","9,339",B-,"63,490th","4,789,490th","2,474,594th",-433 24.7%,-433 24.7%,--
43,10,Nike,"50,289",twitter,NikeLA,+18%,UP 1 PLACE,"213,197",49,"3,563","Dec 21st, 2011","17,506",B-,"56,475th","8,447,675th","1,550,084th",-134 41.2%,-134 41.2%,1 75%
44,10,Nike,"50,289",twitter,NikeNYC,+18%,UP 1 PLACE,"629,384",21,"2,159","Dec 23rd, 2011","23,025",B,"17,324th","9,033,103rd","1,210,022nd",-717 48%,-717 48%,8 100.0%
45,10,Nike,"50,289",twitter,usnikefootball,+18%,UP 1 PLACE,"394,025",877,"8,507","Nov 5th, 2009","13,133",B,"29,252nd","2,416,065th","1,951,969th",-90 82.1%,-90 82.1%,28 55.6%
46,10,Nike,"50,289",twitter,nikegolf,+18%,UP 1 PLACE,"573,962",106,"3,343","May 3rd, 2009","20,541",B,"19,225th","7,529,632nd","1,346,544th",-743 54.3%,-743 54.3%,--
47,10,Nike,"50,289",twitter,Jumpman23,+18%,UP 1 PLACE,"4,496,193",162,"5,755","Oct 5th, 2010","11,141",B+,"1,513th","6,803,283rd","2,198,343rd",9.151K 1.8%,9.151K 1.8%,--
48,10,Nike,"50,289",twitter,nikebasketball,+18%,UP 1 PLACE,"2,564,714",271,"7,530","May 8th, 2007","38,360",B+,"3,205th","5,631,148th","699,391st",2.778K 367.1%,2.778K 367.1%,-3 105.6%
49,10,Nike,"50,289",twitter,nikefootball,+18%,UP 1 PLACE,"3,898,266",212,"1,686","May 19th, 2009","46,829",B+,"1,822nd","6,231,051st","546,074th",10.361K 31.5%,10.361K 31.5%,--
50,10,Nike,"50,289",twitter,nikesb,+18%,UP 1 PLACE,"436,984",308,"2,890","Nov 8th, 2011","8,524",B,"26,031st","5,292,855th","2,621,332nd",-87 86.2%,-87 86.2%,-1 0.0%
51,10,Nike,"50,289",twitter,nikestore,+18%,UP 1 PLACE,"5,156,160",138,"3,943","Nov 12th, 2008","391,923",B+,"1,235th","7,099,859th","10,848th",27.955K 25.0%,27.955K 25.0%,386 36.2%
52,10,Nike,"50,289",twitter,Nike,+18%,UP 1 PLACE,"9,651,244",118,"6,992","Nov 18th, 2011","38,114",A,481st,"7,354,126th","704,734th",54.978K 13%,54.978K 13%,18 45.5%
